_type,_id,_revision,_page.next,kodas,vietovardis_pilnas_nekirciuotas,vietovardis,linksniai,vietovardzio_rusis,vietovardis_vertimas,kirciuote,adm_teritorinis_priklausymas,statusas,kitas_statusas,kiti_variantai,papildoma_informacija,susije_vietovardziai
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,b1ffc22f-cccb-4045-8f58-ded4b73d688f,77d04f44-ee13-481b-b632-1a482ea07fd0,,1602520,Juodgiris,Júodgiris,,kaimas,,1,"Kėdainių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,e7b1f34c-8c4e-4bdc-a227-751e619b4bc5,f44c6bd0-ec32-4fb2-bbc4-cebec356105b,,1602530,Juodieji Lakajai,Juodi̇́eji Lakajai̇̃,"Juodų̃jų Lakajų̃, Juodi̇́esiems Lakajáms, į Juodúosius Lãkajus, ties Juodai̇̃siais Lakajai̇̃s, Juoduõsiuose Lakajuosè",ežeras,,(3b),"Molėtų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,df374eec-1253-44a8-ade7-67220f774a7c,cd9cf91a-0393-44d3-baee-fc507aa922da,,1602540,Juodikis,Juodi̇̀kis,"Juodi̇̀kio, Juodi̇̀kiui, į Juodi̇̀kį, ties Juodikiù, Juodi̇̀kyje",ežeras,,2,"Varėnos rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,baa47884-28e5-4275-a20b-e796ec4ea524,f5fde918-76b9-411f-bd93-556f1a1a9a07,,1602550,Juodikoniai,Juodikóniai,,kaimas,,1,"Panevėžio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d2410ccf-5ed9-412b-bb1d-453ba22a2c72,3825619f-67f2-4800-bc3b-846a609635ac,,1602560,Juodymai,Júodymai,,miškas,,1,"Rokiškio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,fa491ff8-837f-4872-8f2f-24b074a91e35,d9ffe17e-9a36-4a83-a3c4-2a91de716674,,1602570,Juodymai,Júodymai,,pelkė,,1,"Rokiškio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,66e8dd4e-c610-4789-a02a-1f571753a0e3,6420afff-25a0-405b-8df1-8e5006bfc2fa,,1602580,Juodymas,Juodýmas,,pelkė,,1,"Kupiškio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,b5d7ca8b-bff5-495c-b7d9-5ee70caac828,da21cba8-b25f-48ac-8a1a-0efd69cd54eb,,1602590,Juodynas,Juodýnas,,ežeras,,1,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d63920ec-fb54-4e7a-aebb-033627f33d6a,42aaec66-9784-4fdb-b217-4926a2f39820,,1602600,Juodinkiai,Júodinkiai,,kaimas,,1,"Telšių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,e0ce6372-43b5-444b-adb4-8c56994e7bc1,e8f9964d-1135-489f-bc6e-1bc2d82ec2e8,,1602610,Juodinkių miškas,Júodinkių mi̇̀škas,,miškas,,,"Telšių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
